,Project_ID_Number,Project_ID,Master Stats Category Group,Master Stats Category,Program Name,Project Title,Nom du projet,Project Participant Type,Project Type,Project Start Date,Project End Date,Project Instruction Days,Ship,"Pre, Ship, or Post",Country,City,Project Venue,Project Comments,Finance: Location Code,Finance: Program Code,Finance: Purpose Code,powerappID,duplicate
1,24,Burns PUMP Mentoring | Surgeons | 01Sep19-29Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Educational and Spiritual Assistance,Medical Courses,MCB Mentoring,Burns PUMP Mentoring - Surgeons,Programme de mentorat  (PUMP) en brûlures,Surgeons,Mentoring,9/1/2019,3/29/2020,10,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,NA,3,BPLSN19,NA,Burns PUMP Mentoring | Senegal | 01-Sep-2019 - 29-Mar-2020,1
2,25,Burns PUMP Mentoring | Anesthesia Providers | 01Sep19-29Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Educational and Spiritual Assistance,Medical Courses,MCB Mentoring,Burns PUMP Mentoring - Anesthesia Providers,Programme de mentorat  (PUMP) en brûlures,Anesthesia Providers,Mentoring,9/1/2019,3/29/2020,10,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,NA,3,BPLSN19,NA,Burns PUMP Mentoring | Senegal | 01-Sep-2019 - 29-Mar-2020,1
3,26,Burns PUMP Mentoring | OR Nurses | 01Sep19-29Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Educational and Spiritual Assistance,Medical Courses,MCB Mentoring,Burns PUMP Mentoring - OR Nurses,Programme de mentorat  (PUMP) en brûlures,OR Nurses,Mentoring,9/1/2019,3/29/2020,9,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,NA,3,BPLSN19,NA,Burns PUMP Mentoring | Senegal | 01-Sep-2019 - 29-Mar-2020,1
4,27,Burns PUMP Mentoring | ICU Nurses | 01Sep19-29Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Educational and Spiritual Assistance,Medical Courses,MCB Mentoring,Burns PUMP Mentoring - ICU Nurses,Programme de mentorat  (PUMP) en brûlures,ICU Nurses,Mentoring,9/1/2019,3/29/2020,18,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,NA,3,BPLSN19,NA,Burns PUMP Mentoring | Senegal | 01-Sep-2019 - 29-Mar-2020,1
5,28,Burns PUMP Mentoring | PACU Nurses | 01Sep19-29Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Educational and Spiritual Assistance,Medical Courses,MCB Mentoring,Burns PUMP Mentoring - PACU Nurses,Programme de mentorat  (PUMP) en brûlures,PACU Nurses,Mentoring,9/1/2019,3/29/2020,6,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,NA,3,BPLSN19,NA,Burns PUMP Mentoring | Senegal | 01-Sep-2019 - 29-Mar-2020,1
6,29,Burns PUMP Mentoring | Ward Nurses | 01Sep19-29Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Educational and Spiritual Assistance,Medical Courses,MCB Mentoring,Burns PUMP Mentoring - Ward Nurses,Programme de mentorat  (PUMP) en brûlures,Ward Nurses,Mentoring,9/1/2019,3/29/2020,26,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,NA,3,BPLSN19,NA,Burns PUMP Mentoring | Senegal | 01-Sep-2019 - 29-Mar-2020,1
7,30,Burns PUMP Mentoring | Therapists | 01Sep19-29Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Educational and Spiritual Assistance,Medical Courses,MCB Mentoring,Burns PUMP Mentoring - Therapists,Programme de mentorat  (PUMP) en brûlures,Therapists,Mentoring,9/1/2019,3/29/2020,28,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,NA,3,BPLSN19,NA,Burns PUMP Mentoring | Senegal | 01-Sep-2019 - 29-Mar-2020,1
8,189,Clean Cut | Participants | 01Jan22-30Jun22 | Off-ship | Liberia | Gbarnga | Hospital: CB Dunbar,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut - Hospital: CB Dunbar,Cours de Lifebox - Clean Cut,Participants,Course,1/1/2022,6/30/2022,2,Off-ship,NA,Liberia,Gbarnga,Hospital: CB Dunbar,"Courses include: Clean Cut, PPE - Best Practice & Guidelines, Pulse ox distribution and Training",62,LIFEBOX,NA,Clean Cut | Liberia | 01-Jan-2022 - 30-Jun-2022,1
9,190,Clean Cut | Participants | 01Jan22-30Jun22 | Off-ship | Liberia | Monrovia | Hospital: JFK,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut - Hospital: JFK,Cours de Lifebox - Clean Cut,Participants,Course,1/1/2022,6/30/2022,2,Off-ship,NA,Liberia,Monrovia,Hospital: JFK,"Courses include: Clean Cut, PPE - Best Practice & Guidelines, Pulse ox distribution and Training",62,LIFEBOX,NA,Clean Cut | Liberia | 01-Jan-2022 - 30-Jun-2022,1
10,191,Clean Cut | Participants | 01Jan22-30Jun22 | Off-ship | Liberia | Monrovia | Eternal Love Winning Africa (ELWA) Hospital,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut - Eternal Love Winning Africa (ELWA) Hospital,Cours de Lifebox - Clean Cut,Participants,Course,1/1/2022,6/30/2022,2,Off-ship,NA,Liberia,Monrovia,Eternal Love Winning Africa (ELWA) Hospital,"Courses include: Clean Cut, PPE - Best Practice & Guidelines, Pulse ox distribution and Training",62,LIFEBOX,NA,Clean Cut | Liberia | 01-Jan-2022 - 30-Jun-2022,1
11,126,Clean Cut | Participants | 01Mar21-30Jun21 | Off-ship | Liberia | Gbarnga | Hospital: CB Dunbar,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut - Hospital: CB Dunbar,Cours de Lifebox - Clean Cut,Participants,Course,3/1/2021,6/30/2021,2,Off-ship,NA,Liberia,Clean Cut - Hospital: CB Dunbar,Hospital: CB Dunbar,"Courses include: Clean Cut, PPE - Best Practice & Guidelines, Pulse ox distribution and Training",62,LIFEBOX,NA,Clean Cut | Liberia | 01-Mar-2021 - 30-Jun-2021,1
