Index,Project_ID_Number,Project_ID,Master Stats Category Group,Master Stats Category,Program Name,Project Title,Nom du projet,Project Participant Type,Project Type,Project Start Date,Project End Date,Project Instruction Days,Ship,"Pre, Ship, or Post",Country,City,Project Venue,Project Comments,Finance: Location Code,Finance: Program Code,Finance: Purpose Code,powerappID
1,524,Advocacy & Dakar Declaration |  | 01Jan24-01Dec26 | Off-ship | Africa |  |,Health Care Advocacy,Advocacy,Health Care Advocacy,Advocacy & Dakar Declaration,NA,,Advocacy,1/1/2024,12/1/2026,NA,Off-ship,NA,Africa,NA,,NA,70,Various,Advocacy,Advocacy & Dakar Declaration | Africa | 01-Jan-2024 - 01-Dec-2026
2,655,Africa Mercy - Dental Program | Patients | 10Feb09-08Dec09 | Africa Mercy | Benin | Cotonou | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,2/10/2009,12/8/2009, ,Africa Mercy,Ship,Benin,Cotonou,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Benin | 10-Feb-2009 - 08-Dec-2009
3,647,Africa Mercy - Dental Program | Patients | 18Aug16-03Jun17 | Africa Mercy | Benin | Cotonou | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,8/18/2016,6/3/2017, ,Africa Mercy,Ship,Benin,Cotonou,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Benin | 18-Aug-2016 - 03-Jun-2017
4,646,Africa Mercy - Dental Program | Patients | 16Aug17-03Jun18 | Africa Mercy | Cameroon | Douala | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,8/16/2017,6/3/2018, ,Africa Mercy,Ship,Cameroon,Douala,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Cameroon | 16-Aug-2017 - 03-Jun-2018
5,660,Africa Mercy - Dental Program | Patients | 11Aug18-11Jun19 | Africa Mercy | Guinea | Conakry | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,8/11/2018,6/11/2019,NA,Africa Mercy,Ship,Guinea,Conakry,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Guinea | 11-Aug-2018 - 11-Jun-2019
6,651,Africa Mercy - Dental Program | Patients | 22Aug12-01Jun13 | Africa Mercy | Guinea | Conakry | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,8/22/2012,6/1/2013, ,Africa Mercy,Ship,Guinea,Conakry,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Guinea | 22-Aug-2012 - 01-Jun-2013
7,656,Africa Mercy - Dental Program | Patients | 06Feb08-13Dec08 | Africa Mercy | Liberia | Monrovia | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,2/6/2008,12/13/2008, ,Africa Mercy,Ship,Liberia,Monrovia,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Liberia | 06-Feb-2008 - 13-Dec-2008
8,657,Africa Mercy - Dental Program | Patients | 27May07-30Nov07 | Africa Mercy | Liberia | Monrovia | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,5/27/2007,11/30/2007, ,Africa Mercy,Ship,Liberia,Monrovia,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Liberia | 27-May-2007 - 30-Nov-2007
9,612,Africa Mercy - Dental Program | Patients | 01Apr24-08Dec24 | Africa Mercy | Madagascar | Toamasina | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,4/1/2024,12/8/2024,NA,Africa Mercy,Ship,Madagascar,Toamasina,Africa Mercy,NA,NA,NA,NA,Africa Mercy - Dental Program | Madagascar | 01-Apr-2024 - 08-Dec-2024
10,648,Africa Mercy - Dental Program | Patients | 19Jul15-07Jun16 | Africa Mercy | Madagascar | Toamasina | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,7/19/2015,6/7/2016, ,Africa Mercy,Ship,Madagascar,Toamasina,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Madagascar | 19-Jul-2015 - 07-Jun-2016
11,649,Africa Mercy - Dental Program | Patients | 25Oct14-10Jun15 | Africa Mercy | Madagascar | Toamasina | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,10/25/2014,6/10/2015, ,Africa Mercy,Ship,Madagascar,Toamasina,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Madagascar | 25-Oct-2014 - 10-Jun-2015
12,489,Africa Mercy - Dental Program | Patients | 26May24-01Dec24 | Africa Mercy | Madagascar | Toamasina | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,5/26/2024,12/1/2024,NA,Africa Mercy,Ship,Madagascar,Toamasina,Africa Mercy,Duplicate - Do not use,NA,NA,IP24MG10,Africa Mercy - Dental Program | Madagascar | 26-May-2024 - 01-Dec-2024
13,650,Africa Mercy - Dental Program | Patients | 09Aug13-01Jun14 | Africa Mercy | Republic of Congo | Pointe-Noire | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,8/9/2013,6/1/2014, ,Africa Mercy,Ship,Republic of Congo,Pointe-Noire,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Republic of Congo | 09-Aug-2013 - 01-Jun-2014
14,659,Africa Mercy - Dental Program | Patients | 14Aug19-27Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,8/14/2019,3/27/2020,NA,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Senegal | 14-Aug-2019 - 27-Mar-2020
15,653,Africa Mercy - Dental Program | Patients | 27Feb11-10Dec11 | Africa Mercy | Sierra Leone | Freetown | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,2/27/2011,12/10/2011, ,Africa Mercy,Ship,Sierra Leone,Freetown,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Sierra Leone | 27-Feb-2011 - 10-Dec-2011
16,658,Africa Mercy - Dental Program | Patients | 05Sep10-10Dec10 | Africa Mercy | South Africa | Durban | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,9/5/2010,12/10/2010, ,Africa Mercy,Ship,South Africa,Durban,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | South Africa | 05-Sep-2010 - 10-Dec-2010
17,652,Africa Mercy - Dental Program | Patients | 05Jan12-15Jun12 | Africa Mercy | Togo | Lome | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,1/5/2012,6/15/2012, ,Africa Mercy,Ship,Togo,Lome,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Togo | 05-Jan-2012 - 15-Jun-2012
18,654,Africa Mercy - Dental Program | Patients | 10Feb10-15Aug10 | Africa Mercy | Togo | Lome | Africa Mercy,Medical Intervention,Health Care Services,Dental Care,Africa Mercy - Dental Program,AFM - Soins dentaires,Patients,Dental,2/10/2010,8/15/2010, ,Africa Mercy,Ship,Togo,Lome,Africa Mercy,Dental Statistics Ships Land Base Final Figures v 6.xlsx,NA,NA,NA,Africa Mercy - Dental Program | Togo | 10-Feb-2010 - 15-Aug-2010
19,552,Ambulatory Surgery | Patients | 18Aug16-03Jun17 | Africa Mercy | Benin | Cotonou | Africa Mercy,Medical Intervention,Health Care Services,Ambulatory Surgery,Ambulatory Surgery,Chirurgie ambulatoire,Patients,Ambulatory Surgery,8/18/2016,6/3/2017,NA,Africa Mercy,Ship,Benin,Cotonou,Africa Mercy,NA,NA,NA,NA,Ambulatory Surgery | Benin | 18-Aug-2016 - 03-Jun-2017
