IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2021,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T22:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AMR,Americas,Country,PER,Peru,Year,2021,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T22:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T22:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2021,true,,,,,,,,,,,,,1089,,,,,,1089,,,EN,2023-01-11T22:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2021,true,,,,,,,,,,,,,40175,,,,,,40 175,,,EN,2023-01-11T22:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2021,true,,,,,,,,,,,,,41616,,,,,,41 616,,Source: AU CHW survey. Includes Agents Communautaires,EN,2023-01-11T22:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2021,true,,,,,,,,,,,,,6690,,,,,,6690,,,EN,2023-01-11T22:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2021,true,,,,,,,,,,,,,7329,,,,,,7329,,,EN,2023-01-11T22:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,TGO,Togo,Year,2021,true,,,,,,,,,,,,,7500,,,,,,7500,,,EN,2023-01-11T22:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2021,true,,,,,,,,,,,,,7912,,,,,,7912,,,EN,2023-01-11T22:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,TCD,Chad,Year,2021,true,,,,,,,,,,,,,8077,,,,,,8077,,les informations varient d'un service -  un autre donc les donnees saisies ont ete supprimees.,EN,2023-01-12T22:00:00.000Z
