IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2021,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2021,true,,,,,,,,,,,,,13896,,,,,,13 896,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AMR,Americas,Country,URY,Uruguay,Year,2021,true,,,,,,,,,,,,,1608,,,,,,1608,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2021,true,,,,,,,,,,,,,19,,,,,,19,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2021,true,,,,,,,,,,,,,1912,,,,,,1912,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2021,true,,,,,,,,,,,,,200,,,,,,200,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,true,,,,,,,,,,,,,2001,,,,,,2001,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2021,true,,,,,,,,,,,,,2247,,,,,,2247,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2021,true,,,,,,,,,,,,,2593,,,,,,2593,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2021,true,,,,,,,,,,,,,299,,,,,,299,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2021,true,,,,,,,,,,,,,32841,,,,,,32 841,,Value obtained from Licensed to Practice,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2021,true,,,,,,,,,,,,,337,,,,,,337,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,EUR,Europe,Country,ISR,Israel,Year,2021,true,,,,,,,,,,,,,3400,,,,,,3400,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2021,true,,,,,,,,,,,,,37181,,,,,,37 181,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,EUR,Europe,Country,MNE,Montenegro,Year,2021,true,,,,,,,,,,,,,407,,,,,,407,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,TGO,Togo,Year,2021,true,,,,,,,,,,,,,446,,,,,,446,,,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2021,true,,,,,,,,,,,,,59333,,,,,,59 333,,"Data Source:  Professional Regulation Commission and Department of Health as of May 18, 2022  Note: Medical Technologist",EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,ZAF,South Africa,Year,2021,true,,,,,,,,,,,,,6166,,,,,,6166,,"Includes Cyto-Technicians, Medical Technicians, Laboratory Assistants, Medical Technology Interns, Supplementary Medical Technicians and Supplementary Laboratory Assistants as of 1st April 2021. Health Professions Council of South Africa (HPCSA) Annual Re",EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AMR,Americas,Country,PER,Peru,Year,2021,true,,,,,,,,,,,,,7010,,,,,,7010,,Value obtained from Professionally Active,EN,2023-01-11T22:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,TCD,Chad,Year,2021,true,,,,,,,,,,,,,848,,,,,,848,,,EN,2023-01-11T22:00:00.000Z
HWF_0020,Medical and Pathology Laboratory Technicians  (number),numeric,AMR,Americas,Country,PER,Peru,Year,2021,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T22:00:00.000Z
HWF_0020,Medical and Pathology Laboratory Technicians  (number),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T22:00:00.000Z
