IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0021,Physiotherapists (number),numeric,AMR,Americas,Country,BRA,Brazil,Year,2021,true,,,,,,,,,,,,,101718,,,,,,101 718,,Fonte: Cadastro Nacional de Estabelecimentos de Sa-de (CNES) - Ministerio da Sa-de  CBOs utilizados: 2236 - Fisioterapeutas,EN,2023-01-12T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2021,true,,,,,,,,,,,,,123,,,,,,123,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,EUR,Europe,Country,NOR,Norway,Year,2021,true,,,,,,,,,,,,,13683,,,,,,13 683,,"Includes practising physiotherapists. Data Source: OECD Health Data, accessed September 2022.",EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2021,true,,,,,,,,,,,,,1324,,,,,,1324,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,EUR,Europe,Country,MNE,Montenegro,Year,2021,true,,,,,,,,,,,,,150,,,,,,150,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2021,true,,,,,,,,,,,,,16028,,,,,,16 028,,"Data Source:  Professional Regulation Commission and Department of Health as of May 18, 2022 Note: Occupational Therapist 2225 Physical Therapists 13803",EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2021,true,,,,,,,,,,,,,16601,,,,,,16 601,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,AFR,Africa,Country,TGO,Togo,Year,2021,true,,,,,,,,,,,,,161,,,,,,161,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,AMR,Americas,Country,URY,Uruguay,Year,2021,true,,,,,,,,,,,,,1650,,,,,,1650,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,AMR,Americas,Country,CAN,Canada,Year,2021,true,,,,,,,,,,,,,19138,,,,,,19 138,,Value obtained from Practising,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,AMR,Americas,Country,PER,Peru,Year,2021,true,,,,,,,,,,,,,2080,,,,,,2080,,Value obtained from Professionally Active,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2021,true,,,,,,,,,,,,,21,,,,,,21,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2021,true,,,,,,,,,,,,,2120,,,,,,2120,,Value obtained from Licensed to Practice,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,AMR,Americas,Country,COL,Colombia,Year,2021,true,,,,,,,,,,,,,30660,,,,,,30 660,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2021,true,,,,,,,,,,,,,31760,,,,,,31 760,,"Includes practising physiotherapists. Data Source: OECD Health Data, accessed September 2022.",EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2021,true,,,,,,,,,,,,,35,,,,,,35,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,AMR,Americas,Country,CHL,Chile,Year,2021,true,,,,,,,,,,,,,35980,,,,,,35 980,,"Includes practising physiotherapists. Data Source: OECD Health Data, accessed September 2022.",EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2021,true,,,,,,,,,,,,,5179,,,,,,5179,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,EUR,Europe,Country,IRL,Ireland,Year,2021,true,,,,,,,,,,,,,5323,,,,,,5323,,"Includes practising physiotherapists. Data Source: OECD Health Data, accessed September 2022.",EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2021,true,,,,,,,,,,,,,55,,,,,,55,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2021,true,,,,,,,,,,,,,6,,,,,,6,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,EUR,Europe,Country,ISR,Israel,Year,2021,true,,,,,,,,,,,,,6800,,,,,,6800,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,true,,,,,,,,,,,,,747,,,,,,747,,,EN,2023-01-11T22:00:00.000Z
HWF_0021,Physiotherapists (number),numeric,AFR,Africa,Country,ZAF,South Africa,Year,2021,true,,,,,,,,,,,,,8345,,,,,,8345,,Includes physiotherapists and supplementary physiotherapists as of 1st April 2021. Health Professions Council of South Africa (HPCSA) Annual Report 2020-21. Section - Registration Growth Statistics,EN,2023-01-11T22:00:00.000Z
HWF_0022,Physiotherapy Technicians and Assistants  (number),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2021,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T22:00:00.000Z
HWF_0022,Physiotherapy Technicians and Assistants  (number),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2021,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T22:00:00.000Z
HWF_0022,Physiotherapy Technicians and Assistants  (number),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2021,true,,,,,,,,,,,,,1053,,,,,,1053,,,EN,2023-01-11T22:00:00.000Z
HWF_0022,Physiotherapy Technicians and Assistants  (number),numeric,EUR,Europe,Country,MNE,Montenegro,Year,2021,true,,,,,,,,,,,,,16,,,,,,16,,,EN,2023-01-11T22:00:00.000Z
HWF_0022,Physiotherapy Technicians and Assistants  (number),numeric,AFR,Africa,Country,ZAF,South Africa,Year,2021,true,,,,,,,,,,,,,164,,,,,,164,,Includes physiotherapy assistants and physiotherapy technicians as of 1st April 2021. Health Professions Council of South Africa (HPCSA) Annual Report 2020-21. Section - Registration Growth Statistics,EN,2023-01-11T22:00:00.000Z
HWF_0022,Physiotherapy Technicians and Assistants  (number),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2021,true,,,,,,,,,,,,,2120,,,,,,2120,,Value obtained from Licensed to Practice,EN,2023-01-11T22:00:00.000Z
