IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2021,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AMR,Americas,Country,PER,Peru,Year,2021,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2021,true,,,,,,,,,,,,,109,,,,,,109,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EUR,Europe,Country,ISR,Israel,Year,2021,true,,,,,,,,,,,,,1800,,,,,,1800,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2021,true,,,,,,,,,,,,,209,,,,,,209,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,true,,,,,,,,,,,,,2700,,,,,,2700,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2021,true,,,,,,,,,,,,,4833,,,,,,4833,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2021,true,,,,,,,,,,,,,848,,,,,,848,,Value obtained from Licensed to Practice,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,GMB,Gambia,Year,2020,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,MWI,Malawi,Year,2020,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2020,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2020,true,,,,,,,,,,,,,1,,,,,,1,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2020,true,,,,,,,,,,,,,3,,,,,,3,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,GAB,Gabon,Year,2020,true,,,,,,,,,,,,,33,,,,,,33,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2020,true,,,,,,,,,,,,,4010,,,,,,4010,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,IND,India,Year,2020,true,,,,,,,,,,,,,565781,,,,,,565 781,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2019,true,,,,,,,,,,,,,1,,,,,,1,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2019,true,,,,,,,,,,,,,1255,,,,,,1255,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2019,true,,,,,,,,,,,,,32,,,,,,32,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2018,true,,,,,,,,,,,,,1215,,,,,,1215,,,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EUR,Europe,Country,GEO,Georgia,Year,2018,true,,,,,,,,,,,,,7,,,,,,7,,Source: Data provide by SoWN focal point,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AMR,Americas,Country,BRA,Brazil,Year,2017,true,,,,,,,,,,,,,3839,,,,,,3839,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,ZAF,South Africa,Year,2017,true,,,,,,,,,,,,,49732,,,,,,49 732,,"Includes Traditional medicine practitioners.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EUR,Europe,Country,PRT,Portugal,Year,2016,true,,,,,,,,,,,,,1354,,,,,,1354,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AMR,Americas,Country,URY,Uruguay,Year,2016,true,,,,,,,,,,,,,137,,,,,,137,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EUR,Europe,Country,DNK,Denmark,Year,2016,true,,,,,,,,,,,,,1562,,,,,,1562,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2016,true,,,,,,,,,,,,,2113,,,,,,2113,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2016,true,,,,,,,,,,,,,2868,,,,,,2868,,Includes Traditional and Complementary Medicine Professionals .,EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2016,true,,,,,,,,,,,,,308,,,,,,308,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
